"","station","name","lon","lat"
"31","H0347","QUEVEDO EN QUEVEDO",-79.45694444,-1.009444444
"32","H0348","VINCES EN VINCES-DCP",-79.74305556,-1.541666667
"33","H0352","MACUL EN PTE.CARRETERA",-79.61694444,-1.063888889
"34","H0363","DAULE EN BALZAR",-79.9075,-1.353055556
"35","H0365","DAULE EN LA CAPILLA",-79.99527778,-1.696111111
"36","H0371","SAN PABLO EN PALMAR",-79.43888889,-1.831944444
"37","H0391","DAULE EN STA.LUCIA",-79.98194444,-1.708333333
"38","H0394","EMBARCADERO EN H.CLEM(POT-STA.ROSA)",-79.39138889,-1.710555556
"39","H0402","CONGO EN PTE.CARRETERA",-79.69444444,-1.034166667
"40","H0447","BULUBULU AJ PAYO",-79.47583333,-2.306388889
"41","H0448","PAYO AJ BULUBULU",-79.36583333,-2.356666667
"42","H0467","VENDELECHE EN HDA.LA CURIA",-78.87527778,-2.568611111
"43","H0468","SAN PEDRO EN INGAPIRCA",-78.86305556,-2.5252777
"44","H0471","CA„AR DJ RAURA",-79.15555556,-2.481111111
"45","H0472","CA„AR EN PTO.INCA",-79.55666667,-2.547222222
"46","H0503","TENGUEL EN TENGUEL",-79.78694444,-2.990555556
"47","H0507","BONITO EN PTE.CARRETERA(AJ PAGUA)",-79.76444444,-3.103611111
"48","H0529","JUBONES DJ S.FRANCISCO",-79.50916667,-3.307222222
"49","H0573","CASACAY AJ JUBONES",-79.94388889,-3.555
"50","H0574","ARENILLAS EN ARENILLAS",-80.04833333,-3.565277778
"51","H0587","PINDO AJ AMARILLO",-79.63555556,-3.761944444
"52","H0588","AMARILLO EN PORTOVELO",-79.6125,-3.712222222
"53","H0591","PUYANGO EN CPTO.MILITAR (PTE.CARRETERA)",-80.07972222,-3.883333333
"54","H0616","ALAMOR EN SAUCILLO(DJ CELICA)",-80.19638889,-4.258611111
"55","H0617","ARENAL EN PTE.BOQUERON",-79.37277778,-4.054166667
"56","H0619","CANAL ARENAL",-79.37361111,-4.054166667
"57","H0621","JORUPE EN AMALUZA",-79.42527778,-4.5775
"58","H0627","UCHIMA AJ CHAMBA",-79.20166667,-4.231944444
"59","H0788","PUELA AJ CHAMBO",-78.47472222,-1.512222222
"60","H0789","GUARGUALLA AJ CEBADAS",-78.60472222,-1.868055556
"61","H0790","CEBADAS AJ GUAMOTE",-78.64194444,-1.896666667
"62","H0791","BALSACON EN SAN ANDRES",-78.71972222,-1.571666667
"63","H0792","CUTUCHI AJ YANAYACU",-78.60361111,-1.065277778
"64","H0799","CANAL MULALILLO",-78.695,-1.065555556
"65","H0800","PASTAZA EN BA„OS",-78.42361111,-1.393888889
"66","H0892","MAZAR AJ PAUTE",-78.64444444,-2.571388889
"67","H0894","PAUTE EN PAUTE(DJ GUALACEO)",-78.74,-2.758611111
"68","H0895","TOMEBAMBA EN MONAY",-78.96305556,-2.889722222
"69","H0896","MATADERO EN SAYAUSI",-79.06694444,-2.875277778
"70","H0899","SAN FRANCISCO EN GUALACEO",-78.76361111,-2.895277778
"71","H0902 ","DUDAS EN PINDILIG",-78.66833333,-2.629166667
